epoch,loss_train,acc_train_sample,acc_val
1,2.1213760093475313,0.1498,0.15873650539784087
2,1.9916327628135087,0.3074,0.3052778888444622
3,1.8620185484006584,0.3422,0.3359656137544982
4,1.7906189111214168,0.3204,0.31757297081167535
5,1.7370715603377571,0.2616,0.25469812075169934
6,1.7138933874410638,0.3504,0.34646141543382647
7,1.6807724111921254,0.319,0.31857257097161135
8,1.6549066303182804,0.2674,0.273890443822471
9,1.6545723444627662,0.1872,0.18652538984406236
10,1.6433299423777703,0.3696,0.3708516593362655
11,1.6245633154351111,0.3634,0.3515593762495002
12,1.618038397874934,0.1992,0.20641743302678928
13,1.6302638306619857,0.3888,0.3822471011595362
14,1.6102055370170787,0.356,0.36015593762495
15,1.6042841018234617,0.3658,0.3613554578168732
16,1.6120904038953798,0.3876,0.3863454618152739
17,1.6019166845819977,0.2572,0.25879648140743705
18,1.5941768130536205,0.4002,0.399140343862455
19,1.6030660405981665,0.3202,0.3197720911635346
20,1.5917891175172407,0.4086,0.40013994402239106
